8.0	  6.17072    	  5.63454    	  11.1269    	  7.62346    	  6.91562    	  2.91799    	 0.937915    	 0.376673    	 0.813462    	 -1.08214    	-0.431904    	 0.627509    	 0.660987    	 0.829843    	  1.82221    	  3.44224    	  5.09167    	  4.31564    	  9.35570    	  7.19967    	  9.58043    	  6.17946    	  3.85942    	  15.7244    	  7.44757    	 -4.84946    	 -3.52412    
7.5	  8.93201    	  15.6993    	  30.2617    	  15.4082    	  3.25689    	  1.83060    	 0.575061    	-0.816843    	 -1.75678    	 0.481675    	-0.380260    	-0.615382    	 1.588421E-02	  2.33076    	  2.37195    	  2.33948    	  2.26466    	  1.43984    	  5.32625    	  7.38313    	  14.7606    	  4.01713    	  2.80239    	  5.08378    	  12.4646    	  19.7414    	 -8.99253    
7.0	  8.21861    	  37.8868    	  53.2473    	  17.3105    	  3.60909    	  1.06728    	  2.29596    	 -1.16606    	 0.163916    	  1.36654    	 0.443597    	 0.878514    	  2.86934    	  2.83398    	  4.71472    	  2.62711    	  2.35738    	 0.773207    	  4.80734    	  10.5008    	  3.54392    	  10.1962    	  2.62116    	  2.92653    	  7.55058    	  10.5665    	  8.96863    
6.5	  12.5186    	  6.30466    	  17.3055    	  1.59950    	  1.05541    	  2.84780    	 0.541638    	-1.429038E-02	  1.34461    	  2.97854    	  2.07580    	  2.57123    	  3.30902    	  4.40737    	  2.81033    	  1.35950    	-0.569988    	 -3.82583    	 0.706615    	 -2.47836    	 -4.04409    	 -1.06990    	  3.19417    	  3.28515    	  11.3723    	  3.98288    	 -9.23900    
6.0	  6.47616    	  8.67099    	  3.68798    	 -2.15085    	  6.08231    	  7.38120    	  3.32542    	  3.88321    	  5.87587    	  3.83489    	  3.66487    	  5.89549    	  5.88831    	  2.57535    	-9.806699E-02	-0.676778    	 -3.54730    	 -3.37408    	  1.88289    	 -1.89964    	 -2.23992    	 -3.34073    	 -2.20562    	 -1.85373    	 -6.06888    	  1.06595    	 -23.4218    
5.5	  2.97634    	  8.13535    	  4.18824    	 -4.94284    	  3.96551    	  4.82708    	  10.4195    	  12.4236    	  13.3422    	  9.08932    	  6.07209    	  4.80452    	  4.17477    	 0.778334    	 -2.89850    	 -1.87831    	-0.487042    	  7.96837    	  17.6731    	  11.2804    	  7.70314    	 -4.58967    	 -11.0675    	 -8.61364    	 -8.38092    	 -14.4926    	 -18.5972    
5.0	  13.7746    	  7.13446    	 0.223571    	 -4.50596    	  4.36035    	  8.13869    	  12.4470    	  15.8244    	  25.5202    	  11.0868    	  11.2118    	  4.12158    	  9.92260    	  7.22551    	-0.584806    	  3.20314    	  20.3251    	  43.5084    	  47.7626    	  36.7762    	  27.8253    	  8.84338    	  24.3620    	  21.1059    	-0.928757    	 -10.3540    	 -11.9682    
4.5	  17.3489    	  3.24250    	 -5.15166    	-0.826947    	  8.11249    	  21.7124    	  13.6065    	  24.7438    	  21.3695    	  4.94992    	  15.0541    	  10.5080    	  10.9375    	  16.8033    	  15.9877    	  19.6378    	  38.1229    	  55.7767    	  38.3708    	  10.0467    	  8.92162    	  14.0790    	  30.8737    	  5.02493    	 -10.6080    	 -8.88605    	 -8.82824    
4.0	  2.14101    	-0.780078    	  7.08299    	  9.57491    	  1.39959    	-0.980607    	  7.69940    	  29.2304    	  32.1867    	  6.81378    	  2.62807    	  10.0035    	  13.9036    	  28.9318    	  37.3194    	  54.2223    	  37.9629    	  31.6263    	  19.0182    	  3.54818    	  23.3109    	  31.4042    	  19.0104    	 -13.0332    	 -11.2406    	 -6.49260    	 -7.44328    
3.5	  6.51866    	  4.14759    	  8.44785    	  7.98482    	 -3.94734    	 -7.71345    	  18.3227    	  28.7515    	  33.3308    	  3.06339    	  3.84650    	  9.30906    	  31.1647    	  44.5755    	  66.8136    	  93.0535    	  53.2845    	  23.9689    	  15.7582    	  22.9025    	  39.4900    	  51.9953    	  41.9143    	-0.934383    	 -9.15331    	 -5.57905    	 -4.84561    
3.0	 -2.15016    	 -3.53546    	 -3.51685    	 -8.60715    	 -5.99543    	  9.84044    	  11.5427    	  29.8421    	  23.6982    	  11.0783    	  6.50832    	  26.9553    	  45.7773    	  54.3342    	  84.2843    	  89.0709    	  53.6652    	  24.1872    	  16.8685    	  38.5744    	  57.7347    	  105.438    	  65.7164    	  6.83318    	 -4.90366    	 -6.13436    	 -7.68342    
2.5	 -6.93701    	  3.66943    	  4.55774    	  1.81151    	  7.76358    	  18.8133    	  19.6312    	  31.3835    	  6.96516    	 -3.60552    	  1.81418    	  18.7668    	  38.6226    	  46.6658    	  44.6119    	  37.4388    	  33.6386    	  20.6322    	  25.5397    	  16.2609    	  30.6797    	  62.0285    	  21.9516    	  6.81829    	 0.325677    	 -4.75680    	 -6.27151    
2.0	  1.53715    	  8.88577    	  10.8537    	  9.70362    	  11.9162    	  16.3093    	  5.36236    	  6.06030    	 -10.5570    	 -15.7866    	  6.84842    	  28.9325    	  38.9429    	  43.4171    	  35.2255    	  33.2263    	  40.9604    	  31.5038    	  32.4031    	  50.1194    	  34.6286    	  11.4087    	 -8.33232    	 -10.6563    	 -9.12816    	 0.263321    	 -6.48951    
